block,profile,arm,workload,bw,loss,rep,ttfb_ms,total_ms,bytes,objects
primary,P1,quic,W1,3,0,5,166.333,63710.0,10485760,1
primary,P1,tcp-bbr,W1,3,0,3,263.451,51393.618,10485760,1
primary,P1,tcp-cubic,W1,3,0,7,339.374,55726.658,10485760,1
primary,P1,tcp-bbr,W1,3,0,7,308.943,44680.251,10485760,1
primary,P1,tcp-cubic,W1,3,0,4,316.487,64984.061,10485760,1
primary,P1,quic,W1,3,0,7,140.612,64058.395,10485760,1
primary,P1,quic,W1,3,0,3,514.589,58099.642,10485760,1
primary,P1,tcp-bbr,W1,3,0,4,241.249,61261.704,10485760,1
primary,P1,tcp-cubic,W1,3,0,1,311.91,58704.092,10485760,1
primary,P1,tcp-cubic,W1,3,0,3,410.869,49029.401,10485760,1
primary,P1,tcp-bbr,W1,3,0,1,260.867,30796.155,10485760,1
primary,P1,tcp-bbr,W1,3,0,5,293.687,103617.184,10485760,1
primary,P1,quic,W1,3,0,8,515.433,60502.594,10485760,1
primary,P1,quic,W1,3,0,1,464.674,59877.278,10485760,1
primary,P1,tcp-bbr,W1,3,0,9,219.383,30713.428,10485760,1
primary,P1,tcp-cubic,W1,3,0,5,271.33,82548.373,10485760,1
primary,P1,quic,W1,3,0,2,392.243,64929.729,10485760,1
primary,P1,quic,W1,3,0,4,152.465,64726.172,10485760,1
primary,P1,quic,W1,3,0,9,355.805,61273.799,10485760,1
primary,P1,quic,W1,3,0,6,448.192,63664.021,10485760,1
primary,P1,tcp-cubic,W1,3,0,2,276.295,59101.645,10485760,1
primary,P1,tcp-cubic,W1,3,0,8,404.184,55922.12,10485760,1
primary,P1,tcp-bbr,W1,3,0,6,274.851,62597.556,10485760,1
primary,P1,tcp-cubic,W1,3,0,0,287.315,62511.045,10485760,1
primary,P1,quic,W1,3,0,0,580.526,64480.415,10485760,1
primary,P1,tcp-bbr,W1,3,0,0,434.197,109150.774,10485760,1
primary,P1,tcp-bbr,W1,3,0,2,299.074,65594.974,10485760,1
primary,P1,tcp-cubic,W1,3,0,6,328.632,58857.591,10485760,1
primary,P1,tcp-bbr,W1,3,0,8,252.141,44400.302,10485760,1
primary,P2,tcp-cubic,W1,3,0,3,257.114,56156.351,10485760,1
primary,P2,tcp-bbr,W1,3,0,9,288.039,64295.392,10485760,1
primary,P2,quic,W1,3,0,6,205.359,61462.381,10485760,1
primary,P2,tcp-cubic,W1,3,0,6,574.989,59402.432,10485760,1
primary,P2,tcp-cubic,W1,3,0,9,373.241,63879.084,10485760,1
primary,P2,quic,W1,3,0,0,471.258,62364.191,10485760,1
primary,P2,tcp-cubic,W1,3,0,2,286.19,67085.768,10485760,1
primary,P2,tcp-cubic,W1,3,0,0,267.786,60559.395,10485760,1
primary,P2,quic,W1,3,0,4,433.215,66165.503,10485760,1
primary,P2,quic,W1,3,0,9,428.091,67402.89,10485760,1
primary,P2,tcp-bbr,W1,3,0,6,359.792,65071.106,10485760,1
primary,P2,tcp-bbr,W1,3,0,0,372.6,59003.522,10485760,1
primary,P2,tcp-cubic,W1,3,0,7,258.212,61868.959,10485760,1
primary,P2,tcp-cubic,W1,3,0,4,271.89,60604.595,10485760,1
primary,P2,quic,W1,3,0,5,727.466,71288.061,10485760,1
primary,P2,quic,W1,3,0,7,180.765,65455.192,10485760,1
primary,P2,tcp-cubic,W1,3,0,8,282.363,73795.532,10485760,1
primary,P2,tcp-bbr,W1,3,0,5,455.99,54482.215,10485760,1
primary,P2,tcp-bbr,W1,3,0,3,308.703,59214.384,10485760,1
primary,P2,quic,W1,3,0,3,454.495,64084.866,10485760,1
primary,P2,tcp-bbr,W1,3,0,7,306.483,64958.364,10485760,1
primary,P2,tcp-bbr,W1,3,0,1,322.142,59676.465,10485760,1
primary,P2,quic,W1,3,0,2,201.41,66809.281,10485760,1
primary,P2,tcp-bbr,W1,3,0,2,318.723,64602.936,10485760,1
primary,P2,quic,W1,3,0,8,159.261,66506.037,10485760,1
primary,P2,quic,W1,3,0,1,374.992,65462.128,10485760,1
primary,P2,tcp-bbr,W1,3,0,4,252.245,30641.69,10485760,1
primary,P3,tcp-cubic,W1,3,0,1,514.809,69728.421,10485760,1
primary,P3,tcp-cubic,W1,3,0,4,715.346,66501.631,10485760,1
primary,P3,tcp-cubic,W1,3,0,8,499.147,72699.54,10485760,1
primary,P3,tcp-cubic,W1,3,0,5,577.259,69603.783,10485760,1
primary,P3,tcp-bbr,W1,3,0,0,509.256,64373.14,10485760,1
primary,P3,tcp-bbr,W1,3,0,2,472.234,31684.134,10485760,1
primary,P3,tcp-cubic,W1,3,0,9,491.267,62087.745,10485760,1
primary,P3,tcp-bbr,W1,3,0,6,577.366,58473.348,10485760,1
primary,P3,tcp-bbr,W1,3,0,4,597.433,72552.39,10485760,1
primary,P3,tcp-bbr,W1,3,0,3,568.489,113071.53,10485760,1
primary,P3,tcp-bbr,W1,3,0,5,518.185,42197.132,10485760,1
primary,P3,tcp-cubic,W1,3,0,6,533.417,65972.209,10485760,1
primary,P3,tcp-cubic,W1,3,0,0,558.141,57576.251,10485760,1
primary,P3,tcp-bbr,W1,3,0,1,768.073,69895.531,10485760,1
primary,P3,tcp-bbr,W1,3,0,8,501.644,80638.036,10485760,1
primary,P4,tcp-bbr,W1,3,0,3,643.65,81642.798,10485760,1
primary,P4,tcp-cubic,W1,3,0,6,645.029,67130.26,10485760,1
primary,P4,tcp-bbr,W1,3,0,2,699.912,83615.454,10485760,1
primary,P4,tcp-cubic,W1,3,0,7,891.33,83693.768,10485760,1
primary,P4,tcp-cubic,W1,3,0,2,661.067,58087.773,10485760,1
primary,P4,tcp-bbr,W1,3,0,5,673.64,86133.528,10485760,1
primary,P4,tcp-bbr,W1,3,0,7,663.954,69112.605,10485760,1
primary,P4,tcp-bbr,W1,3,0,4,691.147,85601.02,10485760,1
primary,P4,tcp-cubic,W1,3,0,3,742.124,52041.798,10485760,1
primary,P4,tcp-bbr,W1,3,0,6,657.968,31585.286,10485760,1
primary,P4,tcp-bbr,W1,3,0,8,644.791,85101.727,10485760,1
primary,P4,tcp-bbr,W1,3,0,0,603.101,83073.614,10485760,1
primary,P4,tcp-bbr,W1,3,0,9,639.299,55809.932,10485760,1
primary,P4,tcp-cubic,W1,3,0,1,853.429,89109.337,10485760,1
primary,P4,tcp-cubic,W1,3,0,9,663.865,50750.6,10485760,1
primary,P4,tcp-bbr,W1,3,0,1,698.475,54646.2,10485760,1
primary,P4,tcp-cubic,W1,3,0,4,649.261,31334.818,10485760,1
primary,P4,tcp-cubic,W1,3,0,0,625.824,61441.054,10485760,1
primary,P4,tcp-cubic,W1,3,0,8,650.106,50954.183,10485760,1
primary,P4,tcp-cubic,W1,3,0,5,637.771,31473.419,10485760,1
